Datetime,Tweet Url,Text,Username,preprocessed_text,Label
2023-03-13 02:20:09+00:00,https://twitter.com/eriyanto08/status/1635103422432317440,esemka tdk impor tdk utang itu kebohongan yg sangat nyata tp cebong balas dan cari kebohongan anies yg tdk nyata,eriyanto08,esemka tdk impor tdk utang kebohongan yg nyata tp cebong bala cari kebohongan ani yg tdk nyata,1
2022-12-06 15:58:58+00:00,https://twitter.com/m_kamzi/status/1600157863124422656,ada dong partenya pssi wkwkwkkw,m_kamzi,partenya pssi wkwkwkkw,0
2023-02-28 18:08:55+00:00,https://twitter.com/LindaSaibi3/status/1630631147821752325,dih kocak kadrun gk terima liat pan ngusung ganjar erik malah ngatain pan jd inget gua dulu jg ngatain metro tv ngatain surya paloh tp sekarang surya paloh di puja gara ngusung junjungn kadrun dongo,LindaSaibi3,dih kocak kadrun gk terima liat pan ngusung ganjar erik ngatain pan jd inget gua jg ngatain metro tv ngatain surya paloh tp surya paloh puja gara ngusung junjungn kadrun dongo,1
2023-01-08 15:13:01+00:00,https://twitter.com/bengkeldodo/status/1612105099085742080,ya mas kapan akan selesai bangsa ini kompetisi sudah usai mereka sudah bersama bekerja untuk indonesia sayang pendukungnya masih belm bisa damai,bengkeldodo,ya ma selesai bangsa kompetisi indonesia sayang pendukungnya belm damai,1
2023-01-08 13:59:47+00:00,https://twitter.com/Sutebe5/status/1612086666512175104,don one nangis wakakakak bukan pecinta ahok atau siapapun itu cuma mendukung yg bisa kerja dan keliatan hasilnya lagian ahok kalah tp jadi komut pertamina lho bro prabowo sandi kalah ujungnya merapat ke jokowi nikmat mana lagi yang mau kau dustakan wakakakak,Sutebe5,don one nangi wakakakak pecinta ahok mendukung yg kerja keliatan hasilnya ahok kalah tp komut pertamina lho bro prabowo sandi kalah ujungnya merapat jokowi nikmat kau dustakan wakakakak,1
2023-03-13 02:46:02+00:00,https://twitter.com/alifnuranhar1/status/1635109937729916928,akun lonte spt user punya ciri yg khas pendukung user pasang status anti user menista syariah islam menghina ulama tebar fitnah umbar kebencian merasa paling nkri mengaku paling toleran cc user,alifnuranhar1,akun lont spt user ciri yg kha pendukung user pasang statu anti user menista syariah islam menghina ulama tebar fitnah umbar kebencian nkri mengaku toleran cc user,1
2023-02-28 15:24:54+00:00,https://twitter.com/YulianusLadung/status/1630589869453119488,siang itu bersama pak amp bang dari surabaya menuju ke jakarta dengan terima kasih pak ganjar untuk obrolannya,YulianusLadung,siang amp bang surabaya jakarta terima kasih ganjar obrolannya,0
2023-01-09 00:20:03+00:00,https://twitter.com/Khatibalatief/status/1612242763436920832,didu prabowo di dengar orang semacam itu tdk pernah sukses dlm kehidupan pribadinya hidupnyan semu,Khatibalatief,didu prabowo dengar orang tdk suks dlm kehidupan pribadinya hidupnyan semu,1
2023-03-12 13:51:06+00:00,https://twitter.com/Sumardi_T/status/1634914918951690242,ah warta ekonomi kok dipercaya,Sumardi_T,ah warta ekonomi dipercaya,0
2023-03-13 02:21:41+00:00,https://twitter.com/anandadeann/status/1635103810275381248,user janji janji doang bisanya anies pagiii merapi bali perempuan bangsa,anandadeann,user janji janji doang bisanya ani pagiii merapi bali perempuan bangsa,1
2023-03-12 13:53:07+00:00,https://twitter.com/syaiful81624023/status/1634915424101089280,tolong hijabmu lepaskalau dihatimu masih ada iri dan dengki,syaiful81624023,tolong hijabmu lepaskalau dihatimu iri dengki,0
2022-12-07 01:48:08+00:00,https://twitter.com/gabediarmond/status/1600306131251130369,terus siapa yang mengkoordinasikan semua kalau ganjar ada prestasi dibilang kerja bupati kalau ad masalah di daerah ganjar harus paling depan terus fungsi kada dg visi misi yang dipilih lgsg oleh rakyat ngapain dasar pemikiran otak pantt dari penjilat gembel yaman,gabediarmond,mengkoordinasikan ganjar prestasi dibilang kerja bupati ad daerah ganjar fungsi kada dg visi misi dipilih lgsg rakyat ngapain dasar pemikiran otak pantt penjilat gembel yaman,0
2023-03-13 03:54:46+00:00,https://twitter.com/Rich1467552/status/1635127234091687936,user wooiiitu masuk ke buffer zone nya depo nggk krn itu kritikalwilayah yg wajib steril ada copynya share dongspy atr bs memeriksa sah tidaknya user,Rich1467552,user wooiiitu masuk buffer zone nya depo nggk krn kritikalwilayah yg wajib steril copynya share dongspi atr bs memeriksa sah tidaknya user,0
2023-03-13 06:02:38+00:00,https://twitter.com/syambayu/status/1635159411227508737,user jngan cmn imb aj yg lu cek goblok sllu cek jd itu mrka sdh punya sertifkt hgb goblok dasar politikus anying,syambayu,user jngan cmn imb aj yg lu cek goblok sllu cek jd mrka sdh sertifkt hgb goblok dasar politiku ani,1
2023-03-13 07:13:58+00:00,https://twitter.com/Julian303/status/1635177363737825283,dasar melon nggak pernah action njelek in orang aja kerjamu ntar anakmu mirip anak laki ruhut lo,Julian303,dasar melon nggak action njelek in orang aja kerjamu ntar anakmu anak laki ruhut lo,1
2023-03-13 00:21:05+00:00,https://twitter.com/rahmadhdyt709/status/1635073461168279552,waduh gimana nii pendukungnya aja kayak gitu gimana ntar bisapemimpinnya diatur pendukungnya sendiri parah sih pak anies,rahmadhdyt709,gimana nii pendukungnya aja kayak gitu gimana ntar bisapemimpinnya diatur pendukungnya parah sih ani,0
2023-03-13 04:14:37+00:00,https://twitter.com/Bram_AbuBakar/status/1635132228656324609,user biasalahnamanya user sll prilaku halu kerjanya ngeles dgn narasi lagi dia bilang itu terobosan,Bram_AbuBakar,user biasalahnamanya user sll prilaku halu kerjanya ngele dgn narasi bilang terobosan,1
2023-03-12 10:12:18+00:00,https://twitter.com/Pakamkalam/status/1634859856833433607,sama jadi presiden hehehe,Pakamkalam,presiden heheh,0
2022-12-07 05:07:08+00:00,https://twitter.com/makganjar_ntt/status/1600356209995190272,kami dukung bapak ganjar pranowo presiden ri ganjar presidenku cuma bapak ganjar seng ada yang laen yang laen palsu,makganjar_ntt,dukung ganjar pranowo presiden ri ganjar presidenku ganjar seng laen laen palsu,0
2023-03-13 02:41:19+00:00,https://twitter.com/NovelBamukmin/status/1635108748040765440,fajar kemenangan telah tiba dukung dan pilih aniesbaswedan pada tegakkan khilafah di bumi indonesia,NovelBamukmin,fajar kemenangan dukung pilih aniesbaswedan tegakkan khilafah bumi indonesia,0
2023-02-16 17:59:00+00:00,https://twitter.com/5485Awang/status/1626279994556309505,kasian lihat prabowo haus kekuasaan harga diri dipertaruhkan,5485Awang,kasian lihat prabowo hau kekuasaan harga dipertaruhkan,1
2023-03-13 02:20:09+00:00,https://twitter.com/eriyanto08/status/1635103422432317440,user esemka tdk impor tdk utang itu kebohongan yg sangat nyata tp cebong balas dan cari kebohongan anies yg tdk nyata,eriyanto08,user esemka tdk impor tdk utang kebohongan yg nyata tp cebong bala cari kebohongan ani yg tdk nyata,1
2023-03-13 02:54:35+00:00,https://twitter.com/MIrvanDarwin1/status/1635112089571426309,inilah kalau terlalu lama user memutuskan pendampingnya sehingga terus bermunculan narasi dari kader atau lawan utk meramaikan pestatim kecil sebaiknya tentukan tgl bln dan hari deklarasi biar meredam spekulasi,MIrvanDarwin1,user memutuskan pendampingnya bermunculan narasi kader lawan utk meramaikan pestatim tentukan tgl bln deklarasi biar meredam spekulasi,1
2023-03-12 12:15:07+00:00,https://twitter.com/ekoboy_2/status/1634890762872844288,anies wesedan jangn diikutin,ekoboy_2,ani wesedan jangn diikutin,1
2023-03-13 02:57:04+00:00,https://twitter.com/YOSEP_Bugeng/status/1635112714279460865,user hoax,YOSEP_Bugeng,user hoax,1
2023-02-28 22:44:36+00:00,https://twitter.com/Gingsul97280757/status/1630700523052761089,jiwa sehat raga kuat untuk indonesia ayo warga bandung ramaikan senam sehat ganjar pranowo berlangsung pada sabtu maret mari kita sehat bersama jangan lupa ajak keluarga dan kerabat ya,Gingsul97280757,jiwa sehat raga kuat indonesia ayo warga bandung ramaikan senam sehat ganjar pranowo sabtu maret mari sehat lupa ajak keluarga kerabat ya,0
2022-12-07 04:54:18+00:00,https://twitter.com/suspend404n/status/1600352980053524480,tweet kra kra tapi anake ambisi nerusne judegne wong,suspend404n,tweet kra kra anak ambisi nerusn judegn,0
2023-03-12 23:46:55+00:00,https://twitter.com/BangJiih85/status/1635064858768195586,sekalian mampir makan hucap ma iroh pak maknyoss kalau pas ke kuningan selalu mampir ke hucap mak iroh,BangJiih85,mampir makan hucap ma iroh maknyoss pa kuningan mampir hucap mak iroh,0
2022-12-06 18:00:22+00:00,https://twitter.com/BanG_BoLoN71/status/1600188415567597568,retnopra apa kebijakannya biar rakyat indonesia tau,BanG_BoLoN71,retnopra kebijakannya biar rakyat indonesia tau,0
2023-03-12 12:46:28+00:00,https://twitter.com/budsan73/status/1634898653440778240,ga ada salahnya memakai politik identitas bahkan ada yang menyatakan sebagai penggemar bokep juga silakan supaya dipilih oleh sesama penggemar bokep meskipun ada yang acting pake kopyah hanya untuk mencari simpati,budsan73,ga salahnya memakai politik identita penggemar bokep silakan dipilih penggemar bokep act pake kopyah mencari simpati,0
2023-03-13 02:29:22+00:00,https://twitter.com/zhibung/status/1635105744466104322,user menghibur diri namanya goblok tp ngajak ajakgk mau dibilang goblok jurus kedepanya sudah disiapkan kpu curang,zhibung,user menghibur namanya goblok tp ngajak ajakgk dibilang goblok juru kedepanya disiapkan kpu curang,1
2023-01-09 00:32:57+00:00,https://twitter.com/Hendrikorachman/status/1612246009106804736,masalah kita byk calon tdk kuasai sosiologi antropologi selain parpol amp rakyat tdk kuasai hal tsb dlm suatu keluarkan kebijakan dasar masalah kita uud psl amp cc id jsp hasan ri hrt,Hendrikorachman,byk calon tdk kuasai sosiolog antropolog parpol amp rakyat tdk kuasai tsb dlm keluarkan kebijakan dasar uud psl amp cc id jsp hasan ri hrt,1
2023-03-13 05:44:14+00:00,https://twitter.com/garjzla302/status/1635154783970660353,user hahahaha chocotimah otak elo sebenernya ada dimana masa iya minta pertanggung jawaban sama mantan gubernur ga sekalian minta tanggung jawab bpk fauzi bowo dan pak sutiyoso,garjzla302,user hahahaha chocotimah otak elo sebenernya dimana iya pertanggung mantan gubernur ga tanggung bpk fauzi bowo sutiyoso,1
2023-03-13 05:02:56+00:00,https://twitter.com/Wensdey120/status/1635144386957959168,anies pembohong karakter pembohong bawaan dari lahir anies,Wensdey120,ani pembohong karakt pembohong bawaan lahir ani,1
2023-01-08 16:01:46+00:00,https://twitter.com/BatuKepla/status/1612117367202664455,saewad mad wad kalau survei unggulkan anies lu percaya ga jangan survei ganjar prabowo dan kepuasan kepada jokowi naik lu bilang ga percaya terserah lu deh,BatuKepla,saewad mad wad survei unggulkan ani lu percaya ga survei ganjar prabowo kepuasan jokowi lu bilang ga percaya terserah lu deh,1
2023-02-16 22:53:39+00:00,https://twitter.com/edwinaldrianto/status/1626354145493123077,pak lagi cari simpati pendukung pak contohnya abu janda ferdinand densi dll,edwinaldrianto,cari simpati pendukung contohnya abu janda ferdinand densi dll,0
2023-03-12 12:51:42+00:00,https://twitter.com/Saefudi76926229/status/1634899969030377472,itu mah kerjaan anus ngumpulin masa dg iming door prize,Saefudi76926229,mah kerjaan anu ngumpulin dg ime door prize,1
2023-03-13 05:55:46+00:00,https://twitter.com/Gr4sssss/status/1635157684248018946,user kalau ngeles mah emang ahlinya user cuman pakai bahasa inggris loe aja drun yang goblog mau dikibuli pakai bahasa inggris wkwkwk,Gr4sssss,user ngele mah emang ahlinya user cuman pakai bahasa inggri loe aja drun goblog dikibuli pakai bahasa inggri wkwkwk,1
2023-03-12 23:52:47+00:00,https://twitter.com/combi131/status/1635066338187317248,awal covid negara lain lockdown cuma disini yg malah buka pintu kasih diskon,combi131,covid negara lockdown yg buka pintu kasih diskon,0
2023-03-13 06:01:20+00:00,https://twitter.com/michaelsugi99/status/1635159084508000257,user maksud lo suharto yg tahun dipilih oleh mekanisme mpr bro user pilih buzzer yg begok an lg lahbiar suaranya makin nyungsep,michaelsugi99,user maksud lo suharto yg dipilih mekanism mpr bro user pilih buzzer yg begok an lg lahbiar suaranya nyungsep,0
2023-03-13 06:03:43+00:00,https://twitter.com/adri_7i/status/1635159687485341696,di kebiri mungkin bijik latonya di ambil llu di goreng,adri_7i,kebiri bijik latonya ambil llu goreng,0
2023-03-13 03:08:39+00:00,https://twitter.com/ResmawanKha/status/1635115628720979969,seriusankah ini ingat mpe segitunya kok yg katanya org plg berpendidikan seindonesiah bahasannya saru terus ngwe pertama kali di mana dan masapa wahai bacapres beriman dari dan nanya bolehkan kamu yg mulai,ResmawanKha,seriusankah mpe segitunya yg org plg berpendidikan seindonesiah bahasannya saru ngwe kali masapa bacapr beriman nanya bolehkan yg,0
2023-02-16 18:42:49+00:00,https://twitter.com/Juned_satria08/status/1626291022987952130,dia mana ngerti yg begituan wong jadi mentri aja gk ada karyanya si pak fatul itu,Juned_satria08,ngerti yg begituan mentri aja gk karyanya si fatul,1
2023-03-13 06:54:35+00:00,https://twitter.com/primanez/status/1635172486575947777,lu ga ada kerjaan selain nyinyirin anies de nyewa bencong kek gitu misalnya,primanez,lu ga kerjaan nyinyirin ani de nyewa bencong kek gitu,0
2023-03-13 06:59:29+00:00,https://twitter.com/KoenKrisna/status/1635173721081266176,hi hiii jateng partisan pks amp demokrat ya monggo ajaaa seperti juga pendukung capres lain di daerah lain,KoenKrisna,hi hiii jateng partisan pk amp demokrat ya monggo ajaaa pendukung capr daerah,0
2023-01-08 14:23:48+00:00,https://twitter.com/ocongBoyy2/status/1612092712697888768,sulit wankibul dapatkan suara kami droenz insyaallah suara kami dominan droenzklo mau tau suara kadroenz liat aja suara utk prabowo di pilpres droenz peneliti indikator indonesia elektabilitas anies turun dibanding dua bulan lalu,ocongBoyy2,sulit wankibul dapatkan suara droenz insyaallah suara dominan droenzklo tau suara kadroenz liat aja suara utk prabowo pilpr droenz penel indik indonesia elektabilita ani turun diband,1
2023-03-13 03:53:12+00:00,https://twitter.com/sasakpujut/status/1635126839114108929,user nih gara gara user nih yang pamerkan kemesraan dan pluk pluk,sasakpujut,user nih gara gara user nih pamerkan kemesraan pluk pluk,0
2023-01-09 06:51:52+00:00,https://twitter.com/DeaRizkiana7/status/1612341367220629504,nyata banget pendukung jokowi memang cenderung dinamis banyak yg mendukung prabowo subianto yang memang pilihan kita disebabkan fokus kinerjanya prabowo lebih baik indonesia terus maju,DeaRizkiana7,nyata banget pendukung jokowi cenderung dinami yg mendukung prabowo subianto pilihan disebabkan foku kinerjanya prabowo indonesia maju,0
2023-03-13 04:01:35+00:00,https://twitter.com/streetlawyers85/status/1635128951319461889,user kenapa ya dimana user hobby banget peluk rapat perempuan muda kurang layak amp kurang etika sbg capres yg diusung pakai simbol politik identitas agama libido ditahan saat ikut kontestasi politik kurangi dulu makan kambing,streetlawyers85,user ya dimana user hobbi banget peluk rapat perempuan muda layak amp etika sbg capr yg diusung pakai simbol politik identita agama libido ditahan kontestasi politik kurangi makan kamb,1
2023-02-28 23:02:45+00:00,https://twitter.com/jerrysujari/status/1630705091346042881,id maksudnya jokowi biar dukung ganjarprabowo jangan sampai salah arah mendukung anies,jerrysujari,id maksudnya jokowi biar dukung ganjarprabowo salah arah mendukung ani,1
2023-03-12 14:19:03+00:00,https://twitter.com/HadiWibisono10/status/1634921951088238592,ada anjing komen,HadiWibisono10,anj komen,0
2023-03-12 17:01:35+00:00,https://twitter.com/Busrola35587909/status/1634962857229168641,yg jelas kalau ga ad bbm sepeda dari cina laku berat baik yg sepeda genjot maupun sepeda listrik proyek proyek proyek,Busrola35587909,yg ga ad bbm sepeda cina laku berat yg sepeda genjot sepeda listrik proyek proyek proyek,0
2023-03-13 05:54:02+00:00,https://twitter.com/ummychasan/status/1635157250603114497,rasis banget ya gak sudi banget dah,ummychasan,rasi banget ya gak sudi banget dah,0
2023-03-12 13:09:36+00:00,https://twitter.com/matjanmi/status/1634904474065178624,penambahan suara pks bila kadernya kawin lagi ya khan,matjanmi,penambahan suara pk kadernya kawin ya khan,0
2023-03-13 02:41:20+00:00,https://twitter.com/SusantoSwelly/status/1635108755213008896,user ini satu lg user,SusantoSwelly,user lg user,0
2023-02-19 16:03:19+00:00,https://twitter.com/JSedoe/status/1627338047657504769,teruskn sejahtra kn oligarki cukong cina dn rakyat cina ya wowo,JSedoe,teruskn sejahtra kn oligarki cukong cina dn rakyat cina ya wowo,1
2023-03-12 15:56:02+00:00,https://twitter.com/kariango_/status/1634946360020733956,si bahlil smenjelek jelekan rakyat indonesia yg kata ny sdm kurang mumpuni dgn sdm cina lu diem aja,kariango_,si bahlil smenjelek jelekan rakyat indonesia yg ny sdm mumpuni dgn sdm cina lu diem aja,1
2023-03-13 06:18:38+00:00,https://twitter.com/Bagong10826788/status/1635163438388490245,user negakkan keadilan sekelas dki aja kagak mampu apa yang lu harapkan,Bagong10826788,user negakkan keadilan sekela dki aja kagak lu harapkan,1
2023-03-13 05:44:32+00:00,https://twitter.com/gerinisk2/status/1635154856016248832,user dongo lu,gerinisk2,user dongo lu,1
2022-12-07 03:13:39+00:00,https://twitter.com/triliuner007/status/1600327652539518976,ind santai aja oomada bukti cabul pentolan pendukung yang bisa dikeluarkandan semua orang indonsia juga nyimpen,triliuner007,ind santai aja oomada bukti cabul pentolan pendukung dikeluarkandan orang indonsia nyimpen,1
2023-03-12 17:25:45+00:00,https://twitter.com/YakuzaValHen/status/1634968938651197441,cie cie kejang lu drun huahahahahaha menolak lupa junjungannya pemuja lendier cuit cuit,YakuzaValHen,cie cie kejang lu drun huahahahahaha menolak lupa junjungannya pemuja lendier cuit cuit,1
2023-02-19 16:15:34+00:00,https://twitter.com/moslem_nkri/status/1627341128948383745,jokowi jadi gubernur dki itu dipromosikan oleh prabowogerindra lalu mereka berdua menjadi rival dalam pilpres apakah ente pernah membahas adab jokowi terhadap prabowo dalam pilpres yg lalu,moslem_nkri,jokowi gubernur dki dipromosikan prabowogerindra berdua rival pilpr ent membaha adab jokowi prabowo pilpr yg,0
2023-03-13 05:55:50+00:00,https://twitter.com/HadiWibisono10/status/1635157701197168640,user cuma komen buzzer anies cuekin,HadiWibisono10,user komen buzzer ani cuekin,0
2023-03-13 06:18:26+00:00,https://twitter.com/phil41317/status/1635163387159273472,user ini mah kegoblokan unfaedah,phil41317,user mah kegoblokan unfaedah,1
2023-03-13 05:38:03+00:00,https://twitter.com/SulistyaniDs/status/1635153224905953282,user omong ndambleh doang sama org aseng tanda tak punya prestasi gedabrus tok ini yg katanya lulusan luar weladalah malu,SulistyaniDs,user omong ndambleh doang org aseng tanda prestasi gedabru tok yg lulusan weladalah malu,1
2023-01-09 08:38:04+00:00,https://twitter.com/aguskuswanto151/status/1612368093715791872,anies cuma bisa menang pilpres kalau lawannya puan ridwan kamil ahy khofifah atau heru kalau lawannya ganjar atau prabowo sih pasti ke laut suaranya anies,aguskuswanto151,ani menang pilpr lawannya puan ridwan kamil ahi khofifah heru lawannya ganjar prabowo sih laut suaranya ani,1
2023-02-19 17:34:38+00:00,https://twitter.com/NurulFittriia/status/1627361027619971074,budi mengatakan jika prabowo memimpin indonesia ketahanan pangan sekarang ini menjadi salah satu konsentrasi pemerintah perlu ditingkatkan capres pemilu dekade terusmajubersamaprabowo mendingprabowo dukung prabowo,NurulFittriia,budi prabowo memimpin indonesia ketahanan pangan salah konsentrasi pemerintah ditingkatkan capr pemilu dekad terusmajubersamaprabowo mendingprabowo dukung prabowo,0
2023-01-08 17:26:03+00:00,https://twitter.com/antaranews/status/1612138577139503104,sandiaga segera temui prabowo jelaskan isu bergabung ke ppp,antaranews,sandiaga temui prabowo isu bergabung ppp,0
2023-02-28 17:29:03+00:00,https://twitter.com/suleizdn/status/1630621111074582528,wkwkwmau ngundang ganjar tar acaranya mundur abis lari lari dulu ngundang pak dengomongnya mesti rekaman dulu sirik tanda tak mampuya neng,suleizdn,wkwkwmau ngundang ganjar tar acaranya mundur abi lari lari ngundang dengomongnya mesti rekaman sirik tanda mampuya neng,1
2023-03-13 02:32:35+00:00,https://twitter.com/Andy020380/status/1635106553085980672,banyak pendukungnya itu belakang yohanesahahah,Andy020380,pendukungnya yohanesahahah,0
2022-12-06 16:49:00+00:00,https://twitter.com/Wanto43299876/status/1600170452315701248,suheri,Wanto43299876,suheri,0
2023-02-19 17:50:56+00:00,https://twitter.com/DioAlfian15/status/1627365127745048582,kelompok relawan ini sampai pindah arah ya mendukung pak prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo aja,DioAlfian15,kelompok relawan pindah arah ya mendukung prabowo capr pemilu dekad terusmajubersamaprabowo mendingprabowo prabowo aja,0
2023-03-12 16:27:33+00:00,https://twitter.com/Alex7anuari/status/1634954289243381762,ishaallah jika jadi presiden bakal ditutup,Alex7anuari,ishaallah presiden ditutup,0
2023-03-12 22:36:14+00:00,https://twitter.com/naufalyasir29/status/1635047070955626496,ganjar kan orang orangan sawah,naufalyasir29,ganjar orang orangan sawah,1
2023-03-13 03:08:39+00:00,https://twitter.com/ResmawanKha/status/1635115628720979969,user seriusankah ini ingat mpe segitunya kok yg katanya org plg berpendidikan seindonesiah bahasannya saru terus ngwe pertama kali di mana dan masapa wahai bacapres beriman user dari user dan user nanya bolehkan kamu yg mulai,ResmawanKha,user seriusankah mpe segitunya yg org plg berpendidikan seindonesiah bahasannya saru ngwe kali masapa bacapr beriman user user user nanya bolehkan yg,1
2022-12-07 04:54:45+00:00,https://twitter.com/kacasin/status/1600353095531532288,data memang benar realita sudah terjadi percuma saja dapat pujian,kacasin,data realita pujian,0
2023-02-28 11:45:41+00:00,https://twitter.com/zoroo_my/status/1630534700975677440,pak ganjar adalah sosok yang mampu mengatasi banjir di jateng dengan gercep,zoroo_my,ganjar sosok mengatasi banjir jateng gercep,0
2023-03-12 23:17:09+00:00,https://twitter.com/shades2310/status/1635057371721662464,lah dia kan orang yemen jelas gada urusan dgn harkat dan martabat nkri,shades2310,orang yemen gada urusan dgn harkat martabat nkri,1
2023-03-13 06:56:17+00:00,https://twitter.com/hattoricoin/status/1635172914860535808,wkwkkk pemuja jokowi panik nambah korup buat nambah sewa buzzer rp wkkkk,hattoricoin,wkwkkk pemuja jokowi panik nambah korup nambah sewa buzzer rp wkkkk,1
2023-03-12 12:17:32+00:00,https://twitter.com/YMFD1968/status/1634891370992390146,ah itu cuma karangan elu aja ahoker betina dgn cover berkerudung yg baper trus pake ngatain busuk lg nggak malu sama cover wanita menutup kepala amp nama akun kyk cewek bener aja,YMFD1968,ah karangan elu aja ahok betina dgn cover berkerudung yg baper tru pake ngatain busuk lg nggak malu cover wanita menutup kepala amp nama akun kyk cewek bener aja,1
2023-02-28 20:03:28+00:00,https://twitter.com/langenrakyat/status/1630659974572675072,yakin pan mau usung ganjar erick,langenrakyat,pan usung ganjar erick,0
2023-03-13 03:45:59+00:00,https://twitter.com/IcukYanto/status/1635125024796585987,user dalam rangka opo toh pak,IcukYanto,user rangka opo,0
2023-01-08 12:14:32+00:00,https://twitter.com/KATADATAcoid/status/1612060181428600832,elektabilitas ganjar di pemilu tinggi nasib tak sebaik prabowo,KATADATAcoid,elektabilita ganjar pemilu nasib prabowo,0
2023-03-13 04:59:07+00:00,https://twitter.com/AsatArifin5/status/1635143429553528834,user buzzer user gak nyebar hoax gak makan,AsatArifin5,user buzzer user gak nyebar hoax gak makan,0
2023-03-12 14:22:20+00:00,https://twitter.com/GucianoVabio/status/1634922776778899458,massa loe berapa ga dukung jg ga apa gaya loe ribet,GucianoVabio,massa loe ga dukung jg ga gaya loe ribet,0
2022-12-07 04:36:50+00:00,https://twitter.com/NalaKara1/status/1600348586935402497,ini baru keren gaiss peneliti senior mipos edwin sarif mengatakan berdasarkan survei mipos november prabowo mendapatkan persentase sebesar diikuti ganjar pranowo dan anies baswedan lebih baik prabowo,NalaKara1,keren gaiss penel senior mipo edwin sarif berdasarkan survei mipo novemb prabowo persentas diikuti ganjar pranowo ani baswedan prabowo,0
2023-01-08 23:02:57+00:00,https://twitter.com/KasanMulyono/status/1612223360804745216,hut pdip akankah pdip mengumumkan capres pengamat ingatkan perjanjian batu tulis megawati dan prabowo jakarta insider,KasanMulyono,hut pdip pdip mengumumkan capr pengamat ingatkan perjanjian batu tuli megawati prabowo jakarta insid,0
2023-03-13 06:06:38+00:00,https://twitter.com/trisnowidibagus/status/1635160417818546176,gua cuman ngajak aja sang ketum dan yg lainnya pokonya udah punya ktp itu aja sihmau kecil mau gede kan ttep aja alhamdulillah dapet imb di lahan orangkalau tidak sekarang kapan lagi merampok lahan orang yg di legalkanya kan,trisnowidibagus,gua cuman ngajak aja sang ketum yg pokonya udah ktp aja sihmau gede ttep aja alhamdulillah dapet imb lahan orangkalau merampok lahan orang yg legalkanya,0
2023-03-12 11:47:45+00:00,https://twitter.com/ArjunaPutra19/status/1634883877515976704,cie yg imigran yunan,ArjunaPutra19,cie yg imigran yunan,1
2023-02-28 13:48:16+00:00,https://twitter.com/fajaronline/status/1630565549775400960,didukung pan jadi capres ganjar pranowo hengkang dari pdip,fajaronline,didukung pan capr ganjar pranowo hengkang pdip,1
